         1447631 function calls (1440426 primitive calls) in 2.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    77038    0.183    0.000    0.183    0.000 {built-in method numpy.core._multiarray_umath.interp}
      990    0.005    0.000    0.156    0.000 C:\Python\lib\site-packages\pandas\core\frame.py:2767(__getitem__)
    30972    0.149    0.000    0.149    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     4712    0.011    0.000    0.141    0.000 C:\Python\lib\site-packages\numpy\core\numerictypes.py:602(find_common_type)
     4125    0.012    0.000    0.126    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:2600(get_loc)
      495    0.002    0.000    0.126    0.000 C:\Python\lib\site-packages\pandas\core\frame.py:2922(__setitem__)
     9424    0.096    0.000    0.125    0.000 C:\Python\lib\site-packages\numpy\core\numerictypes.py:578(_can_coerce_all)
      495    0.002    0.000    0.122    0.000 C:\Python\lib\site-packages\pandas\core\frame.py:2988(_set_item)
      990    0.003    0.000    0.114    0.000 C:\Python\lib\site-packages\pandas\core\frame.py:2847(_getitem_multilevel)
     4701    0.005    0.000    0.110    0.000 <__array_function__ internals>:2(unique)
     3960    0.049    0.000    0.103    0.000 {method 'get_loc' of 'pandas._libs.index.BaseMultiIndexCodesEngine' objects}
     4701    0.010    0.000    0.099    0.000 C:\Python\lib\site-packages\numpy\lib\arraysetops.py:151(unique)
      990    0.003    0.000    0.085    0.000 C:\Python\lib\site-packages\pandas\core\generic.py:3581(_get_item_cache)
     1342    0.009    0.000    0.085    0.000 C:\Python\lib\site-packages\pandas\core\series.py:183(__init__)
    15799    0.015    0.000    0.083    0.000 {method 'any' of 'numpy.ndarray' objects}
     4701    0.040    0.000    0.079    0.000 C:\Python\lib\site-packages\numpy\lib\arraysetops.py:298(_unique1d)
   144232    0.046    0.000    0.070    0.000 {built-in method builtins.isinstance}
      495    0.004    0.000    0.068    0.000 C:\Python\lib\site-packages\pandas\core\frame.py:3570(_sanitize_column)
    15799    0.007    0.000    0.067    0.000 C:\Python\lib\site-packages\numpy\core\_methods.py:44(_any)
     4947    0.006    0.000    0.067    0.000 <__array_function__ internals>:2(sum)
      495    0.025    0.000    0.064    0.000 ../..\anduryl\core\assessments.py:147(get_bounds)
     9336    0.009    0.000    0.064    0.000 <__array_function__ internals>:2(concatenate)
      864    0.041    0.000    0.063    0.000 ../..\anduryl\core\experts.py:219(remove_expert)
      990    0.007    0.000    0.063    0.000 C:\Python\lib\site-packages\pandas\core\internals\managers.py:368(apply)
     4947    0.011    0.000    0.055    0.000 C:\Python\lib\site-packages\numpy\core\fromnumeric.py:2092(sum)
      495    0.002    0.000    0.055    0.000 C:\Python\lib\site-packages\pandas\core\generic.py:5706(copy)
      836    0.012    0.000    0.055    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:1927(__getitem__)
      176    0.002    0.000    0.054    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:2709(get_loc_level)
      165    0.001    0.000    0.054    0.000 C:\Python\lib\site-packages\pandas\core\base.py:1026(__iter__)
     1485    0.002    0.000    0.053    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:981(__contains__)
      495    0.001    0.000    0.051    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:623(_values)
     1837    0.005    0.000    0.051    0.000 C:\Python\lib\site-packages\pandas\core\internals\blocks.py:3027(make_block)
      176    0.001    0.000    0.051    0.000 C:\Python\lib\site-packages\pandas\core\indexing.py:2116(_getitem_axis)
      495    0.002    0.000    0.051    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:1339(values)
     4536    0.004    0.000    0.051    0.000 <__array_function__ internals>:2(dot)
      495    0.002    0.000    0.050    0.000 C:\Python\lib\site-packages\pandas\core\generic.py:3623(_set_item)
      363    0.018    0.000    0.049    0.000 ../..\anduryl\core\experts.py:279(count_realizations_per_bin)
      495    0.001    0.000    0.047    0.000 C:\Python\lib\site-packages\pandas\core\internals\managers.py:560(setitem)
      495    0.017    0.000    0.046    0.000 C:\Python\lib\site-packages\pandas\core\internals\managers.py:1037(set)
      176    0.001    0.000    0.046    0.000 C:\Python\lib\site-packages\pandas\core\indexing.py:1779(_getbool_axis)
      176    0.001    0.000    0.044    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:2751(maybe_mi_droplevels)
      517    0.004    0.000    0.043    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:240(__new__)
     4991    0.012    0.000    0.042    0.000 C:\Python\lib\site-packages\numpy\core\fromnumeric.py:73(_wrapreduction)
     2717    0.009    0.000    0.042    0.000 C:\Python\lib\site-packages\pandas\core\indexes\base.py:526(_shallow_copy)
      996    0.019    0.000    0.041    0.000 ../..\anduryl\core\experts.py:144(add_expert)
      495    0.002    0.000    0.040    0.000 C:\Python\lib\site-packages\pandas\core\frame.py:3066(_box_item_values)
      495    0.002    0.000    0.039    0.000 C:\Python\lib\site-packages\pandas\core\internals\managers.py:950(get)
     1353    0.022    0.000    0.038    0.000 ../..\anduryl\core\assessments.py:118(get_array)
     3960    0.021    0.000    0.038    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:73(_codes_to_ints)
      495    0.004    0.000    0.038    0.000 C:\Python\lib\site-packages\pandas\core\internals\blocks.py:807(setitem)
     4671    0.005    0.000    0.037    0.000 {method 'sum' of 'numpy.ndarray' objects}
      176    0.000    0.000    0.037    0.000 C:\Python\lib\site-packages\pandas\core\series.py:833(_take_with_is_copy)
      330    0.002    0.000    0.037    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:1535(_get_level_values)
      176    0.002    0.000    0.036    0.000 C:\Python\lib\site-packages\pandas\core\series.py:806(take)
151241/145147    0.023    0.000    0.035    0.000 {built-in method builtins.len}
     4671    0.002    0.000    0.032    0.000 C:\Python\lib\site-packages\numpy\core\_methods.py:36(_sum)
      847    0.004    0.000    0.032    0.000 C:\Python\lib\site-packages\pandas\core\internals\blocks.py:2981(get_block_type)
24810/24480    0.031    0.000    0.031    0.000 {built-in method numpy.array}
    13284    0.030    0.000    0.030    0.000 {method 'resize' of 'numpy.ndarray' objects}
     1837    0.007    0.000    0.028    0.000 C:\Python\lib\site-packages\pandas\core\internals\managers.py:1467(__init__)
      495    0.001    0.000    0.028    0.000 C:\Python\lib\site-packages\pandas\core\internals\managers.py:766(copy)
     2310    0.005    0.000    0.027    0.000 ../..\anduryl\core\experts.py:75(get_idx)
      132    0.014    0.000    0.025    0.000 ../..\anduryl\core\experts.py:469(get_weights)
       33    0.011    0.000    0.025    0.001 ../..\anduryl\io.py:277(<listcomp>)
      176    0.005    0.000    0.025    0.000 C:\Python\lib\site-packages\pandas\core\internals\managers.py:886(fast_xs)
      495    0.001    0.000    0.024    0.000 C:\Python\lib\site-packages\pandas\core\internals\blocks.py:265(make_block)
     3951    0.024    0.000    0.024    0.000 {built-in method builtins.sum}
      330    0.003    0.000    0.023    0.000 C:\Python\lib\site-packages\pandas\core\algorithms.py:1565(take_nd)
    36421    0.017    0.000    0.023    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\generic.py:10(_check)
      517    0.003    0.000    0.022    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:668(_set_levels)
     4202    0.009    0.000    0.022    0.000 C:\Python\lib\site-packages\pandas\core\generic.py:5276(__setattr__)
     4701    0.021    0.000    0.021    0.000 {method 'sort' of 'numpy.ndarray' objects}
    65968    0.021    0.000    0.021    0.000 C:\Python\lib\site-packages\numpy\core\numerictypes.py:587(<listcomp>)
     4400    0.004    0.000    0.020    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\base.py:247(is_dtype)
    71564    0.017    0.000    0.020    0.000 {built-in method builtins.getattr}
     6094    0.007    0.000    0.020    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\common.py:1565(is_extension_array_dtype)
       33    0.001    0.000    0.020    0.001 ../..\anduryl\io.py:129(add_data)
      176    0.002    0.000    0.019    0.000 C:\Python\lib\site-packages\pandas\core\construction.py:388(sanitize_array)
      176    0.003    0.000    0.019    0.000 C:\Python\lib\site-packages\pandas\core\indexes\base.py:1484(droplevel)
     8602    0.006    0.000    0.019    0.000 C:\Python\lib\site-packages\pandas\core\indexes\base.py:2637(get_loc)
       11    0.000    0.000    0.018    0.002 {built-in method builtins.print}
     1551    0.002    0.000    0.018    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:684(<genexpr>)
       33    0.010    0.000    0.018    0.001 ../..\anduryl\io.py:273(<listcomp>)
      165    0.001    0.000    0.017    0.000 C:\Python\lib\site-packages\pandas\core\indexing.py:633(_get_setitem_indexer)
     1045    0.003    0.000    0.017    0.000 {built-in method builtins.min}
     7488    0.017    0.000    0.017    0.000 {built-in method numpy.zeros}
       66    0.011    0.000    0.017    0.000 {method 'readlines' of '_io._IOBase' objects}
      176    0.001    0.000    0.016    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:1960(take)
      176    0.001    0.000    0.016    0.000 C:\Python\lib\site-packages\pandas\core\internals\managers.py:1855(_interleaved_dtype)
     9237    0.007    0.000    0.016    0.000 <__array_function__ internals>:2(ndim)
      165    0.001    0.000    0.015    0.000 C:\Python\lib\site-packages\pandas\core\indexing.py:720(_convert_tuple)
     1788    0.003    0.000    0.015    0.000 C:\Python\lib\site-packages\numpy\core\numeric.py:159(ones)
     7358    0.015    0.000    0.015    0.000 {built-in method numpy.empty}
    24155    0.015    0.000    0.015    0.000 {method 'split' of 'str' objects}
      176    0.002    0.000    0.015    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\cast.py:1342(find_common_type)
     3927    0.003    0.000    0.014    0.000 ../..\anduryl\core\experts.py:456(<genexpr>)
     2717    0.005    0.000    0.014    0.000 C:\Python\lib\site-packages\pandas\core\indexes\base.py:472(_simple_new)
      330    0.001    0.000    0.014    0.000 C:\Python\lib\site-packages\pandas\core\indexing.py:1660(_convert_to_indexer)
      495    0.001    0.000    0.013    0.000 <__array_function__ internals>:2(nanmin)
      341    0.001    0.000    0.013    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:655(levels)
      176    0.001    0.000    0.013    0.000 C:\Python\lib\site-packages\pandas\core\construction.py:506(_try_cast)
     1397    0.003    0.000    0.013    0.000 C:\Python\lib\site-packages\pandas\core\common.py:99(is_bool_indexer)
      495    0.003    0.000    0.012    0.000 C:\Python\lib\site-packages\pandas\core\internals\managers.py:979(iget)
      341    0.001    0.000    0.012    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:661(<listcomp>)
     8602    0.012    0.000    0.012    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
      495    0.003    0.000    0.012    0.000 C:\Python\lib\site-packages\numpy\lib\nanfunctions.py:230(nanmin)
     1518    0.004    0.000    0.012    0.000 C:\Python\lib\site-packages\pandas\core\series.py:376(_set_axis)
     5676    0.006    0.000    0.012    0.000 {pandas._libs.lib.is_list_like}
      341    0.004    0.000    0.012    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:2849(_get_level_indexer)
      990    0.001    0.000    0.011    0.000 C:\Python\lib\site-packages\pandas\core\internals\blocks.py:275(make_block_same_class)
       88    0.000    0.000    0.011    0.000 C:\Python\lib\site-packages\ipykernel\iostream.py:384(write)
       66    0.010    0.000    0.011    0.000 {built-in method io.open}
      495    0.001    0.000    0.011    0.000 C:\Python\lib\site-packages\pandas\core\frame.py:3073(_box_col_values)
      836    0.001    0.000    0.011    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\missing.py:49(isna)
     1837    0.005    0.000    0.011    0.000 C:\Python\lib\site-packages\pandas\core\internals\blocks.py:118(__init__)
     2563    0.004    0.000    0.011    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:1175(__len__)
       93    0.000    0.000    0.011    0.000 C:\Python\lib\site-packages\ipykernel\iostream.py:197(schedule)
      836    0.002    0.000    0.010    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\missing.py:132(_isna_new)
    10029    0.004    0.000    0.010    0.000 C:\Python\lib\site-packages\numpy\core\_asarray.py:88(asanyarray)
      495    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(nanmax)
      495    0.000    0.000    0.010    0.000 C:\Python\lib\site-packages\pandas\core\internals\managers.py:790(<listcomp>)
      517    0.002    0.000    0.010    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:798(_set_codes)
     1221    0.003    0.000    0.010    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\common.py:1435(is_bool_dtype)
     6094    0.007    0.000    0.010    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\dtypes.py:75(find)
       93    0.010    0.000    0.010    0.000 C:\Python\lib\site-packages\zmq\sugar\socket.py:342(send)
      495    0.001    0.000    0.010    0.000 C:\Python\lib\site-packages\pandas\core\internals\managers.py:784(copy_func)
     1683    0.004    0.000    0.010    0.000 ../..\anduryl\core\experts.py:90(<listcomp>)
      682    0.002    0.000    0.009    0.000 C:\Python\lib\site-packages\pandas\core\indexing.py:737(_convert_scalar_indexer)
      495    0.001    0.000    0.009    0.000 C:\Python\lib\site-packages\pandas\core\indexes\base.py:660(view)
     1353    0.001    0.000    0.009    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\common.py:542(is_categorical_dtype)
      495    0.002    0.000    0.009    0.000 C:\Python\lib\site-packages\numpy\lib\nanfunctions.py:345(nanmax)
     2237    0.002    0.000    0.009    0.000 C:\Python\lib\re.py:215(findall)
     7700    0.003    0.000    0.009    0.000 C:\Python\lib\abc.py:137(__instancecheck__)
     2717    0.005    0.000    0.009    0.000 C:\Python\lib\site-packages\pandas\core\indexes\base.py:505(_get_attributes_dict)
     4081    0.007    0.000    0.008    0.000 C:\Python\lib\site-packages\pandas\core\indexes\frozen.py:66(__getitem__)
      352    0.001    0.000    0.008    0.000 C:\Python\lib\site-packages\pandas\core\indexing.py:1816(_validate_key)
     4884    0.006    0.000    0.008    0.000 {pandas._libs.lib.is_scalar}
     1221    0.001    0.000    0.008    0.000 {built-in method builtins.any}
     2398    0.003    0.000    0.008    0.000 C:\Python\lib\site-packages\pandas\core\generic.py:422(_get_axis)
    27429    0.008    0.000    0.008    0.000 {method 'find' of 'str' objects}
     1788    0.002    0.000    0.008    0.000 <__array_function__ internals>:2(copyto)
      330    0.002    0.000    0.008    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\cast.py:347(maybe_promote)
      176    0.000    0.000    0.008    0.000 C:\Python\lib\site-packages\pandas\core\indexing.py:2286(check_bool_indexer)
     1551    0.001    0.000    0.007    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:809(<genexpr>)
      495    0.001    0.000    0.007    0.000 C:\Python\lib\site-packages\pandas\core\internals\blocks.py:694(copy)
     1353    0.001    0.000    0.007    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\common.py:403(is_datetime64tz_dtype)
       22    0.000    0.000    0.007    0.000 C:\Python\lib\site-packages\numpy\core\arrayprint.py:1489(_array_str_implementation)
       22    0.000    0.000    0.007    0.000 C:\Python\lib\site-packages\numpy\core\arrayprint.py:532(array2string)
    12720    0.007    0.000    0.007    0.000 {method 'index' of 'list' objects}
      517    0.004    0.000    0.007    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:1181(_set_names)
      165    0.006    0.000    0.006    0.000 {pandas._libs.lib.fast_zip}
      847    0.001    0.000    0.006    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\common.py:339(is_categorical)
     2481    0.006    0.000    0.006    0.000 {method 'copy' of 'numpy.ndarray' objects}
      429    0.001    0.000    0.006    0.000 C:\Python\lib\site-packages\numpy\core\fromnumeric.py:55(_wrapfunc)
       22    0.000    0.000    0.006    0.000 C:\Python\lib\site-packages\numpy\core\arrayprint.py:477(wrapper)
       33    0.006    0.000    0.006    0.000 ../..\anduryl\io.py:274(<listcomp>)
      165    0.000    0.000    0.006    0.000 <__array_function__ internals>:2(round_)
      847    0.001    0.000    0.006    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\common.py:506(is_interval_dtype)
       22    0.000    0.000    0.006    0.000 C:\Python\lib\site-packages\numpy\core\arrayprint.py:494(_array2string)
     1012    0.002    0.000    0.006    0.000 C:\Python\lib\site-packages\pandas\core\generic.py:5331(_protect_consolidate)
      847    0.001    0.000    0.006    0.000 C:\Python\lib\site-packages\pandas\core\generic.py:5341(_consolidate_inplace)
       66    0.000    0.000    0.006    0.000 C:\Python\lib\genericpath.py:16(exists)
    28318    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
     7700    0.006    0.000    0.006    0.000 {built-in method _abc._abc_instancecheck}
      176    0.001    0.000    0.006    0.000 C:\Python\lib\site-packages\pandas\core\indexers.py:278(check_array_indexer)
       66    0.006    0.000    0.006    0.000 {built-in method nt.stat}
     2013    0.003    0.000    0.006    0.000 C:\Python\lib\site-packages\pandas\core\series.py:428(name)
      990    0.003    0.000    0.006    0.000 C:\Python\lib\site-packages\pandas\core\internals\blocks.py:3053(_extend_blocks)
      495    0.002    0.000    0.006    0.000 C:\Python\lib\site-packages\pandas\core\internals\managers.py:163(shape)
     2255    0.001    0.000    0.006    0.000 C:\Python\lib\site-packages\numpy\core\_asarray.py:16(asarray)
      165    0.000    0.000    0.006    0.000 C:\Python\lib\site-packages\numpy\core\fromnumeric.py:3590(round_)
      528    0.001    0.000    0.006    0.000 {method 'all' of 'numpy.ndarray' objects}
     9072    0.006    0.000    0.006    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      726    0.002    0.000    0.005    0.000 ../..\anduryl\core\items.py:46(get_idx)
    10813    0.004    0.000    0.005    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:1881(nlevels)
      280    0.000    0.000    0.005    0.000 C:\Python\lib\encodings\cp1252.py:22(decode)
      847    0.001    0.000    0.005    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\common.py:472(is_period_dtype)
     2530    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     1034    0.003    0.000    0.005    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:3499(_coerce_indexer_frozen)
      176    0.001    0.000    0.005    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\cast.py:1209(maybe_cast_to_datetime)
      165    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(around)
      847    0.002    0.000    0.005    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\dtypes.py:1124(is_dtype)
      330    0.003    0.000    0.005    0.000 C:\Python\lib\site-packages\pandas\core\algorithms.py:1436(_get_take_nd_function)
      176    0.001    0.000    0.005    0.000 C:\Python\lib\site-packages\pandas\core\indexing.py:710(_is_nested_tuple_indexer)
      280    0.005    0.000    0.005    0.000 {built-in method _codecs.charmap_decode}
      836    0.002    0.000    0.005    0.000 C:\Python\lib\site-packages\numpy\core\_dtype.py:333(_name_get)
     4701    0.005    0.000    0.005    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       33    0.003    0.000    0.005    0.000 ../..\anduryl\io.py:265(<listcomp>)
      165    0.000    0.000    0.005    0.000 C:\Python\lib\site-packages\numpy\core\fromnumeric.py:3130(around)
     3058    0.002    0.000    0.005    0.000 C:\Python\lib\site-packages\pandas\core\indexes\base.py:3638(values)
      528    0.000    0.000    0.005    0.000 C:\Python\lib\site-packages\numpy\core\_methods.py:47(_all)
     4712    0.005    0.000    0.005    0.000 C:\Python\lib\site-packages\numpy\core\numerictypes.py:654(<listcomp>)
      847    0.001    0.000    0.005    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\dtypes.py:917(is_dtype)
      176    0.001    0.000    0.005    0.000 C:\Python\lib\site-packages\pandas\core\indexes\base.py:744(take)
      682    0.001    0.000    0.005    0.000 C:\Python\lib\site-packages\pandas\core\indexes\base.py:2852(_convert_scalar_indexer)
    28155    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
      495    0.001    0.000    0.005    0.000 C:\Python\lib\site-packages\pandas\core\frame.py:3590(reindexer)
    12728    0.004    0.000    0.004    0.000 {built-in method builtins.max}
      198    0.001    0.000    0.004    0.000 C:\Python\lib\site-packages\numpy\core\fromnumeric.py:42(_wrapit)
     2237    0.004    0.000    0.004    0.000 {method 'findall' of 're.Pattern' objects}
      176    0.002    0.000    0.004    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\cast.py:1088(maybe_castable)
      671    0.001    0.000    0.004    0.000 C:\Python\lib\site-packages\pandas\core\indexes\base.py:1737(is_all_dates)
      528    0.002    0.000    0.004    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:1288(_get_level_number)
      671    0.002    0.000    0.004    0.000 C:\Python\lib\site-packages\pandas\core\generic.py:5235(__finalize__)
     4991    0.004    0.000    0.004    0.000 C:\Python\lib\site-packages\numpy\core\fromnumeric.py:74(<dictcomp>)
       33    0.004    0.000    0.004    0.000 ../..\anduryl\io.py:140(<listcomp>)
     1936    0.002    0.000    0.004    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\common.py:1708(_is_dtype_type)
     2717    0.002    0.000    0.004    0.000 C:\Python\lib\site-packages\pandas\core\indexes\base.py:509(<dictcomp>)
       22    0.000    0.000    0.004    0.000 C:\Python\lib\site-packages\numpy\core\arrayprint.py:425(_get_format_function)
     1485    0.001    0.000    0.004    0.000 C:\Python\lib\site-packages\pandas\core\internals\managers.py:165(<genexpr>)
     2398    0.003    0.000    0.004    0.000 C:\Python\lib\site-packages\pandas\core\generic.py:409(_get_axis_name)
      495    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(atleast_2d)
     4701    0.003    0.000    0.004    0.000 C:\Python\lib\site-packages\numpy\lib\arraysetops.py:138(_unpack_tuple)
      847    0.002    0.000    0.004    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\common.py:252(is_sparse)
     1342    0.004    0.000    0.004    0.000 C:\Python\lib\site-packages\pandas\core\generic.py:190(__init__)
      495    0.001    0.000    0.004    0.000 C:\Python\lib\site-packages\pandas\core\generic.py:3255(_maybe_update_cacher)
     2013    0.002    0.000    0.004    0.000 C:\Python\lib\site-packages\pandas\core\series.py:432(name)
      990    0.002    0.000    0.004    0.000 C:\Python\lib\site-packages\pandas\core\internals\blocks.py:2032(_can_hold_element)
       22    0.000    0.000    0.004    0.000 C:\Python\lib\site-packages\numpy\core\arrayprint.py:381(<lambda>)
     1166    0.002    0.000    0.003    0.000 C:\Python\lib\site-packages\pandas\core\indexes\base.py:3911(__getitem__)
     4708    0.002    0.000    0.003    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\inference.py:358(is_hashable)
       22    0.000    0.000    0.003    0.000 C:\Python\lib\site-packages\numpy\core\arrayprint.py:856(__init__)
      176    0.002    0.000    0.003    0.000 C:\Python\lib\site-packages\pandas\core\indexing.py:1833(_is_scalar_access)
     1023    0.001    0.000    0.003    0.000 {built-in method builtins.all}
       33    0.000    0.000    0.003    0.000 ../..\anduryl\core\main.py:21(__init__)
     1837    0.003    0.000    0.003    0.000 C:\Python\lib\site-packages\pandas\core\generic.py:5257(__getattr__)
      495    0.003    0.000    0.003    0.000 C:\Python\lib\site-packages\pandas\core\internals\blocks.py:368(set)
     8921    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
       22    0.001    0.000    0.003    0.000 C:\Python\lib\site-packages\numpy\core\arrayprint.py:883(fillFormat)
     1386    0.001    0.000    0.003    0.000 C:\Python\lib\site-packages\pandas\core\indexers.py:23(is_list_like_indexer)
      528    0.000    0.000    0.003    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\cast.py:1381(<genexpr>)
      132    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(diff)
    18499    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
      847    0.001    0.000    0.003    0.000 C:\Python\lib\site-packages\pandas\core\generic.py:5344(f)
     4092    0.003    0.000    0.003    0.000 {method 'view' of 'numpy.ndarray' objects}
      528    0.000    0.000    0.003    0.000 C:\Python\lib\site-packages\pandas\core\indexing.py:717(<genexpr>)
       66    0.000    0.000    0.003    0.000 ../..\anduryl\core\assessments.py:26(calculate_binprobs)
       33    0.001    0.000    0.003    0.000 ../..\anduryl\io.py:308(<listcomp>)
      341    0.001    0.000    0.003    0.000 C:\Python\lib\site-packages\pandas\core\indexes\multi.py:2575(_get_loc_single_level_index)
     2237    0.002    0.000    0.003    0.000 C:\Python\lib\re.py:271(_compile)
     1837    0.002    0.000    0.003    0.000 C:\Python\lib\site-packages\pandas\core\internals\blocks.py:251(mgr_locs)
      352    0.001    0.000    0.003    0.000 C:\Python\lib\site-packages\pandas\core\indexing.py:2376(is_nested_tuple)
    16698    0.003    0.000    0.003    0.000 {built-in method builtins.issubclass}
     1034    0.001    0.000    0.003    0.000 C:\Python\lib\site-packages\pandas\core\dtypes\cast.py:757(coerce_indexer_dtype)
      495    0.002    0.000    0.003    0.000 C:\Python\lib\site-packages\numpy\core\shape_base.py:83(atleast_2d)
      132    0.002    0.000    0.003    0.000 C:\Python\lib\site-packages\numpy\lib\function_base.py:1141(diff)
